Tree: CPAM; AugType: HasBox; Split: HilbertCurve; BDO: 6; Inba: 30; Coord: integer; 
1.in 
# Insert
## 0.0001
median: (2337, 0.001816)-> min: (1672, 0.0014835)-> max: (4484, 0.0079235)-> tot: 18.816-> avg: 0.0018811
range query time: 
0 32 1.000000e-06
0 32 2.000000e-06
0 65 4.000000e-06
0 54 1.000000e-06
0 36 1.000000e-06
1 684 1.600000e-05
1 8644 1.430000e-04
1 6569 7.200000e-05
1 5961 5.300000e-05
1 3013 2.700000e-05
1 2919 2.500000e-05
1 1235 1.200000e-05
1 164 3.000000e-06
1 1071 1.000000e-05
1 1060 1.100000e-05
1 808 8.000000e-06
1 252 6.000000e-06
1 1684 1.700000e-05
1 1683 1.600000e-05
1 1225 1.300000e-05
1 1043 1.200000e-05
1 584 8.000000e-06
1 459 7.000000e-06
1 182 7.000000e-06
1 458 7.000000e-06
1 2948 3.900000e-05
1 2464 2.300000e-05
1 2241 2.200000e-05
1 160 5.000000e-06
1 2081 3.100000e-05
1 1013 1.200000e-05
1 949 7.000000e-06
1 1068 1.300000e-05
1 979 1.000000e-05
1 223 6.000000e-06
1 484 1.000000e-05
1 608 1.400000e-05
1 2075 3.700000e-05
1 1127 1.200000e-05
1 569 9.000000e-06
1 558 1.000000e-05
1 948 1.300000e-05
1 8034 1.840000e-04
1 2962 4.700000e-05
1 1182 1.200000e-05
1 647 7.000000e-06
1 535 7.000000e-06
1 1780 1.800000e-05
1 1698 1.600000e-05
1 1666 1.400000e-05
1 1352 1.100000e-05
1 858 8.000000e-06
1 494 7.000000e-06
1 314 7.000000e-06
1 5072 8.700000e-05
1 952 1.500000e-05
1 4120 4.600000e-05
1 2229 2.400000e-05
1 206 5.000000e-06
1 2023 2.600000e-05
1 1972 1.900000e-05
1 1444 1.500000e-05
1 519 7.000000e-06
1 925 1.300000e-05
1 528 9.000000e-06
1 1891 2.000000e-05
1 1409 1.600000e-05
1 1218 1.200000e-05
1 801 1.100000e-05
1 417 7.000000e-06
1 191 4.000000e-06
1 482 8.000000e-06
1 7830 1.850000e-04
1 992 1.300000e-05
1 6838 9.200000e-05
1 5228 5.600000e-05
1 1438 1.700000e-05
1 324 6.000000e-06
1 1114 1.500000e-05
1 465 9.000000e-06
1 649 1.100000e-05
1 3790 4.100000e-05
1 460 1.000000e-05
1 3330 3.200000e-05
1 2560 2.600000e-05
1 1391 1.400000e-05
1 885 1.300000e-05
1 506 8.000000e-06
1 1169 1.300000e-05
1 1131 1.300000e-05
1 1082 1.100000e-05
1 893 9.000000e-06
1 189 5.000000e-06
1 770 1.800000e-05
1 1610 4.200000e-05
1 1376 1.700000e-05
1 394 9.000000e-06
1 982 1.500000e-05
1 234 8.000000e-06
1 7619 1.530000e-04
1 3530 5.500000e-05
1 2089 3.200000e-05
1 653 6.000000e-06
1 1436 1.600000e-05
1 1421 1.300000e-05
2 982317 1.018400e-02
2 416858 4.762000e-03
2 25192 3.200000e-04
2 17362 1.570000e-04
2 391666 4.268000e-03
2 157265 1.735000e-03
2 157189 1.373000e-03
2 74516 8.850000e-04
2 71570 7.950000e-04
2 50665 5.440000e-04
2 48494 5.070000e-04
2 40516 4.630000e-04
2 38748 4.600000e-04
2 34020 4.840000e-04
2 17768 2.530000e-04
2 16252 2.120000e-04
2 20905 5.480000e-04
2 13233 3.390000e-04
2 82673 9.490000e-04
2 60535 8.930000e-04
2 55701 8.280000e-04
2 55076 8.510000e-04
2 15246 4.410000e-04
2 39830 5.920000e-04
2 30703 4.540000e-04
2 13164 3.110000e-04
2 17539 3.170000e-04
2 22138 3.680000e-04
2 16194 2.640000e-04
2 234401 3.482000e-03
2 168291 2.298000e-03
2 63853 8.700000e-04
2 30219 5.340000e-04
2 25353 4.330000e-04
2 11348 3.250000e-04
2 14005 3.580000e-04
2 33634 6.820000e-04
2 29566 5.750000e-04
2 25284 5.480000e-04
2 20941 5.760000e-04
2 19617 4.680000e-04
2 104438 1.421000e-03
2 50901 7.790000e-04
2 17896 2.390000e-04
2 33005 4.290000e-04
2 23640 3.580000e-04
2 12658 2.530000e-04
2 10982 2.570000e-04
2 53537 7.220000e-04
2 22557 4.120000e-04
2 13731 2.380000e-04
2 30980 5.280000e-04
2 19380 3.170000e-04
2 11600 1.960000e-04
2 66110 1.124000e-03
2 10685 1.720000e-04
2 55425 8.170000e-04
2 10279 1.480000e-04
2 45146 5.200000e-04
2 38408 5.010000e-04
2 34766 4.750000e-04
2 17276 2.860000e-04
2 17490 3.080000e-04
2 565459 6.614000e-03
2 500814 5.149000e-03
2 132666 1.175000e-03
2 73512 5.010000e-04
2 51295 2.650000e-04
2 27780 1.480000e-04
2 19790 1.090000e-04
2 23515 1.400000e-04
2 21681 1.850000e-04
2 17243 1.590000e-04
