benchmark,solver,type,size,time
Uniform_by_x,PTree-H,1,2023,2.300000e-05
Uniform_by_x,PTree-H,1,1972,2.200000e-05
Uniform_by_x,PTree-H,1,1444,1.600000e-05
Uniform_by_x,PTree-H,1,519,8.000000e-06
Uniform_by_x,PTree-H,1,925,1.300000e-05
Uniform_by_x,PTree-H,1,528,9.000000e-06
Uniform_by_x,PTree-H,1,1891,2.300000e-05
Uniform_by_x,PTree-H,1,1409,1.400000e-05
Uniform_by_x,PTree-H,1,1218,1.500000e-05
Uniform_by_x,PTree-H,1,801,2.700000e-05
Uniform_by_x,PTree-H,1,417,1.100000e-05
Uniform_by_x,PTree-H,1,191,5.000000e-06
Uniform_by_x,PTree-H,1,482,1.000000e-05
Uniform_by_x,PTree-H,1,7830,1.610000e-04
Uniform_by_x,PTree-H,1,992,1.100000e-05
Uniform_by_x,PTree-H,1,6838,6.400000e-05
Uniform_by_x,PTree-H,1,5228,5.100000e-05
Uniform_by_x,PTree-H,1,1438,2.100000e-05
Uniform_by_x,PTree-H,1,324,7.000000e-06
Uniform_by_x,PTree-H,1,1114,1.700000e-05
Uniform_by_x,PTree-H,1,465,1.000000e-05
Uniform_by_x,PTree-H,1,649,1.300000e-05
Uniform_by_x,PTree-H,1,3790,4.100000e-05
Uniform_by_x,PTree-H,1,460,1.100000e-05
Uniform_by_x,PTree-H,1,3330,3.200000e-05
Uniform_by_x,PTree-H,1,2560,2.700000e-05
Uniform_by_x,PTree-H,1,1391,1.800000e-05
Uniform_by_x,PTree-H,1,885,1.200000e-05
Uniform_by_x,PTree-H,1,506,9.000000e-06
Uniform_by_x,PTree-H,1,1169,1.400000e-05
Uniform_by_x,PTree-H,1,1131,1.300000e-05
Uniform_by_x,PTree-H,1,1082,1.200000e-05
Uniform_by_x,PTree-H,1,893,1.200000e-05
Uniform_by_x,PTree-H,1,189,5.000000e-06
Uniform_by_x,PTree-H,1,770,1.500000e-05
Uniform_by_x,PTree-H,1,1610,3.600000e-05
Uniform_by_x,PTree-H,1,1376,2.000000e-05
Uniform_by_x,PTree-H,1,394,1.000000e-05
Uniform_by_x,PTree-H,1,982,1.500000e-05
Uniform_by_x,PTree-H,1,234,9.000000e-06
Uniform_by_x,PTree-H,1,7619,1.480000e-04
Uniform_by_x,PTree-H,1,3530,6.700000e-05
Uniform_by_x,PTree-H,1,2089,2.300000e-05
Uniform_by_x,PTree-H,1,653,6.000000e-06
Uniform_by_x,PTree-H,1,1436,1.600000e-05
Uniform_by_x,PTree-H,1,1421,1.500000e-05
Uniform_by_x,PTree-H,2,982317,9.792000e-03
Uniform_by_x,PTree-H,2,416858,4.592000e-03
Uniform_by_x,PTree-H,2,25192,2.710000e-04
Uniform_by_x,PTree-H,2,17362,1.060000e-04
Uniform_by_x,PTree-H,2,391666,3.929000e-03
Uniform_by_x,PTree-H,2,157265,1.574000e-03
Uniform_by_x,PTree-H,2,157189,1.257000e-03
Uniform_by_x,PTree-H,2,74516,8.960000e-04
Uniform_by_x,PTree-H,2,71570,7.650000e-04
Uniform_by_x,PTree-H,2,50665,5.520000e-04
Uniform_by_x,PTree-H,2,48494,5.880000e-04
Uniform_by_x,PTree-H,2,40516,4.870000e-04
Uniform_by_x,PTree-H,2,38748,4.690000e-04
Uniform_by_x,PTree-H,2,34020,4.990000e-04
Uniform_by_x,PTree-H,2,17768,2.710000e-04
Uniform_by_x,PTree-H,2,16252,2.300000e-04
Uniform_by_x,PTree-H,2,20905,5.410000e-04
Uniform_by_x,PTree-H,2,13233,3.530000e-04
Uniform_by_x,PTree-H,2,82673,1.052000e-03
Uniform_by_x,PTree-H,2,60535,9.800000e-04
Uniform_by_x,PTree-H,2,55701,8.750000e-04
Uniform_by_x,PTree-H,2,55076,8.030000e-04
Uniform_by_x,PTree-H,2,15246,4.190000e-04
Uniform_by_x,PTree-H,2,39830,6.300000e-04
Uniform_by_x,PTree-H,2,30703,4.830000e-04
Uniform_by_x,PTree-H,2,13164,3.150000e-04
Uniform_by_x,PTree-H,2,17539,3.300000e-04
Uniform_by_x,PTree-H,2,22138,3.950000e-04
Uniform_by_x,PTree-H,2,16194,2.710000e-04
Uniform_by_x,PTree-H,2,234401,3.278000e-03
Uniform_by_x,PTree-H,2,168291,1.922000e-03
Uniform_by_x,PTree-H,2,63853,8.750000e-04
Uniform_by_x,PTree-H,2,30219,5.730000e-04
Uniform_by_x,PTree-H,2,25353,4.630000e-04
Uniform_by_x,PTree-H,2,11348,3.930000e-04
Uniform_by_x,PTree-H,2,14005,4.020000e-04
Uniform_by_x,PTree-H,2,33634,6.910000e-04
Uniform_by_x,PTree-H,2,29566,5.800000e-04
Uniform_by_x,PTree-H,2,25284,5.430000e-04
Uniform_by_x,PTree-H,2,20941,5.130000e-04
Uniform_by_x,PTree-H,2,19617,5.720000e-04
Uniform_by_x,PTree-H,2,104438,1.409000e-03
Uniform_by_x,PTree-H,2,50901,7.970000e-04
Uniform_by_x,PTree-H,2,17896,2.900000e-04
Uniform_by_x,PTree-H,2,33005,4.600000e-04
Uniform_by_x,PTree-H,2,23640,4.370000e-04
Uniform_by_x,PTree-H,2,12658,3.220000e-04
Uniform_by_x,PTree-H,2,10982,2.740000e-04
Uniform_by_x,PTree-H,2,53537,7.270000e-04
Uniform_by_x,PTree-H,2,22557,4.290000e-04
Uniform_by_x,PTree-H,2,13731,2.530000e-04
Uniform_by_x,PTree-H,2,30980,5.220000e-04
Uniform_by_x,PTree-H,2,19380,3.320000e-04
Uniform_by_x,PTree-H,2,11600,1.920000e-04
Uniform_by_x,PTree-H,2,66110,9.210000e-04
Uniform_by_x,PTree-H,2,10685,1.400000e-04
Uniform_by_x,PTree-H,2,55425,7.540000e-04
Uniform_by_x,PTree-H,2,10279,1.810000e-04
Uniform_by_x,PTree-H,2,45146,6.060000e-04
Uniform_by_x,PTree-H,2,38408,5.100000e-04
Uniform_by_x,PTree-H,2,34766,4.620000e-04
Uniform_by_x,PTree-H,2,17276,3.060000e-04
Uniform_by_x,PTree-H,2,17490,2.910000e-04
Uniform_by_x,PTree-H,2,565459,6.153000e-03
Uniform_by_x,PTree-H,2,500814,4.901000e-03
Uniform_by_x,PTree-H,2,132666,1.097000e-03
Uniform_by_x,PTree-H,2,73512,5.360000e-04
Uniform_by_x,PTree-H,2,51295,2.970000e-04
Uniform_by_x,PTree-H,2,27780,1.360000e-04
Uniform_by_x,PTree-H,2,19790,1.090000e-04
Uniform_by_x,PTree-H,2,23515,1.470000e-04
Uniform_by_x,PTree-H,2,21681,2.610000e-04
Uniform_by_x,PTree-H,2,17243,1.760000e-04
Uniform_by_x,PTree-H,2,22217,1.760000e-04
Uniform_by_x,PTree-H,2,21301,2.090000e-04
Uniform_by_x,PTree-H,2,17912,1.690000e-04
Uniform_by_x,PTree-H,2,59154,6.960000e-04
Uniform_by_x,PTree-H,2,28159,2.860000e-04
Uniform_by_x,PTree-H,2,21953,1.940000e-04
Uniform_by_x,PTree-H,2,10681,9.300000e-05
