benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Varden,OrthTree,0.01,0.0816293,0.0778387,0.016717,0.095919,7.78392,0.112989,0.260425,0.934096,0.116995,0.239199,1.05762,0.347367,0.965212,3.17874,0.488752,0.958821,3.18505,0.001609,0.0116383,0.642814,0.000902667,0.01389,1.80952
Varden,OrthTree,0.001,0.009959,0.00969987,0.002035,0.0194903,9.70037,0.113407,0.263665,0.947051,0.1169,0.237292,1.05037,0.349098,0.969504,3.19155,0.490627,0.962457,3.19634,0.00100467,0.0117583,0.653333,0.000828667,0.014056,1.80352
Varden,OrthTree,0.0001,0.001704,0.00172819,0.000402,0.00580167,17.2868,0.11446,0.263613,0.943714,0.117175,0.238109,1.04989,0.348507,0.967061,3.18503,0.491313,0.963129,3.1962,0.00101567,0.0118813,0.63968,0.001228,0.0139347,1.81869
Varden,ZdTree,1.0,4.98578,4.98578,4.98578,4.98578,4.98578,0.119655,0.199294,0.790952,0.121305,0.198371,0.800179,0.29886,0.488462,1.61332,0.318907,0.492377,1.57039,0.00057,0.00348867,0.131614,0.000565667,0.00959233,1.5643
Varden,ZdTree,0.1,0.700404,0.682547,0.353878,0.828693,6.82548,0.125544,0.201747,0.797672,0.128092,0.203047,0.808559,0.305407,0.503425,1.61798,0.327396,0.510278,1.59329,0.000503,0.003827,0.134497,0.000570333,0.00972867,1.51515
Varden,ZdTree,0.01,0.165459,0.148842,0.0397853,0.200413,14.8842,0.126446,0.203133,0.799833,0.127707,0.20389,0.801503,0.307206,0.504754,1.61071,0.329515,0.510131,1.58579,0.000409333,0.00379867,0.12948,0.000568,0.009675,1.47745
Varden,ZdTree,0.001,0.0232393,0.0214991,0.005721,0.031052,21.4996,0.127845,0.204508,0.785568,0.129875,0.204377,0.795872,0.307026,0.505292,1.61455,0.329692,0.512097,1.58956,0.000443333,0.003823,0.128256,0.000535667,0.00960933,1.4749
Varden,ZdTree,0.0001,0.003403,0.0032601,0.00130667,0.0110853,32.606,0.128176,0.20559,0.792251,0.12864,0.203238,0.809827,0.308131,0.507876,1.61695,0.330475,0.51292,1.59294,0.000392,0.00391033,0.126921,0.000575333,0.00972467,1.4741
Uniform,PTree-H,1.0,4.08079,4.08079,4.08079,4.08079,4.08079,3.6643,7.32461,17.2101,3.82682,7.27475,17.0885,3.6121,7.23419,17.0376,3.82594,7.25835,17.0279,0.000856333,0.049901,0.968607,0.000888,0.0579513,1.92863
Uniform,PTree-H,0.1,0.608039,0.577591,0.323809,0.792732,5.77592,3.57533,7.0633,16.6564,3.77825,7.08865,16.6656,3.5795,7.06899,16.6629,3.79304,7.10662,16.6823,0.000933,0.0519243,0.995536,0.00096,0.0585973,2.05592
