benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Uniform,PTree-H,0.0001,0.00277067,0.00267655,0.000775,0.00703367,26.7705,1.15274,1.95513,4.65892,1.18361,1.96175,4.65805,1.15085,1.95935,4.66804,1.18839,1.97056,4.67521,0.000455333,0.004809,0.163445,0.00065,0.0105547,1.25097
Uniform,PTree-Z,1.0,3.10178,3.10178,3.10178,3.10178,3.10178,3.61504,9.1298,22.1495,3.68134,9.19457,22.22,3.64124,9.2025,22.2477,3.69914,9.22474,22.2714,0.000537,0.00473333,0.229324,0.000808667,0.0102663,1.21784
Uniform,PTree-Z,0.1,0.373981,0.367955,0.285482,0.426429,3.67956,3.77748,9.11336,22.7907,3.87047,9.18989,22.8441,3.83791,9.20301,22.8966,3.89441,9.22583,22.9228,0.000614,0.00570133,0.233526,0.000791667,0.0108633,1.29656
Uniform,PTree-Z,0.01,0.058255,0.0574602,0.0302727,0.0753233,5.74607,3.80531,9.17762,23.0719,3.90879,9.25796,23.1613,3.87801,9.27885,23.2198,3.93369,9.30028,23.2432,0.000606333,0.00639567,0.237255,0.000746667,0.0109297,1.30818
Uniform,PTree-Z,0.001,0.01348,0.0126444,0.00374433,0.0197207,12.6449,3.81743,9.16352,22.8272,3.92286,9.24362,22.9094,3.89109,9.262,22.9811,3.94797,9.2878,23.0091,0.000623333,0.00608367,0.236456,0.000853667,0.0108637,1.30169
Uniform,PTree-Z,0.0001,0.00271767,0.00262298,0.000719667,0.00800033,26.2348,3.83645,9.21236,23.1228,3.94168,9.29352,23.2045,3.90869,9.30446,23.2738,3.96713,9.32728,23.282,0.000631,0.00594367,0.236801,0.000862333,0.0106427,1.306
Uniform,CPAM-H,1.0,11.3161,11.3161,11.3161,11.3161,11.3161,1.43674,2.51705,5.90859,1.44363,2.49992,5.86667,1.39079,2.4831,5.84783,1.43968,2.49257,5.83914,0.000515667,0.005177,0.216211,0.000649,0.0107153,1.39098
Uniform,CPAM-H,0.1,1.5457,1.53403,1.29279,1.79859,15.3403,1.41789,2.43593,5.84234,1.43618,2.43216,5.81991,1.38608,2.42111,5.81538,1.43426,2.43342,5.81784,0.000539,0.00584233,0.223808,0.000566333,0.0113967,1.45186
Uniform,CPAM-H,0.01,0.391345,0.382167,0.101975,0.629089,38.2167,1.42738,2.44995,5.8601,1.44679,2.44663,5.83683,1.39594,2.43421,5.83041,1.44332,2.44552,5.83224,0.000529333,0.00717433,0.226584,0.000541,0.0114843,1.45659
Uniform,CPAM-H,0.001,0.121819,0.108252,0.00841667,0.13761,108.252,1.42442,2.44534,5.84575,1.44099,2.44072,5.82141,1.39335,2.42934,5.81825,1.43882,2.44175,5.82041,0.000552333,0.00637033,0.225878,0.000570333,0.0121733,1.46095
