benchmark,solver,op,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Cosmo50,CPAM-Z,Delete,0.0001,0.00196767,0.00192095,0.000832,0.00714167,19.2145,1.2357,3.80311,13.1138,2.42835,7.21379,18.2795,6.03671,14.1029,29.451,6.14136,14.0805,29.3706,0.00171667,0.020546,1.33173,0.001631,0.0273273,2.4392
Cosmo50,KdTree,Insert,1.0,1.88912,1.88912,1.88912,1.88912,1.88912,0.026501,0.106687,0.363987,0.0319773,0.073769,0.377521,0.0700567,0.247938,0.836306,0.1149,0.241162,0.813759,0.000575333,0.00894567,0.601815,0.000995667,0.0124837,1.70282
Cosmo50,KdTree,Insert,0.0001,0.00164733,0.0100669,0.000703667,0.359829,100.94,0.028653,0.114013,0.387746,0.0356107,0.08154,0.373094,0.0748067,0.255111,0.861493,0.125496,0.257192,0.847002,0.000631667,0.0100713,0.62622,0.000710333,0.0131823,1.665
Cosmo50,KdTree,Delete,0.0001,0.0338987,0.080032,0.000608667,2.57372,800.325,0.0283363,0.114159,0.402364,0.048665,0.116442,0.5387,0.0721787,0.246635,0.871491,0.122837,0.256152,0.878477,0.002007,0.010648,0.62028,0.000693333,0.0138353,1.67222
Cosmo50,OrthTree,Insert,1.0,1.89859,1.89859,1.89859,1.89859,1.89859,0.0376487,0.120118,0.416858,0.0880733,0.15143,0.55436,0.0849647,0.244211,0.821828,0.133498,0.254472,0.829247,0.00130933,0.01162,0.565858,0.000821667,0.014024,1.73807
Cosmo50,OrthTree,Insert,0.0001,0.00149633,0.00161995,0.000467667,0.00549433,16.2109,0.0385413,0.125214,0.431101,0.093378,0.159977,0.582089,0.0913127,0.258302,0.850788,0.142458,0.269809,0.865581,0.00103133,0.0121263,0.56818,0.000784667,0.0144063,1.65859
Cosmo50,OrthTree,Delete,0.0001,0.00163,0.00178496,0.000793667,0.00606433,17.8546,0.0400467,0.133481,0.46265,0.07107,0.146242,0.617441,0.0933133,0.269145,0.914435,0.144636,0.281426,0.928762,0.00104767,0.013743,0.61645,0.000811,0.0165333,1.75433
Cosmo50,Boost,Insert,1.0,-1,-1,-1,-1,414.37966,0.18,0.27351,4.77393,0.20233,0.2765,4.03903,0.19667,0.27593,4.45164,0.19567,0.27563,3.79038,0.00073,0.00776,0.97651,0.00044,0.01624,19.25171
Cosmo50,Boost,Insert,0.0001,-1,-1,-1,-1,192.80533,0.78519,1.08504,6.44761,0.78428,1.08544,6.42085,0.78507,1.08683,6.16468,0.78643,1.08621,5.95303,0.0042,0.0344,1.58298,0.00489,0.04166,19.93688
Cosmo50,Boost,Delete,0.0001,-1,-1,-1,-1,1482.67162,0.1872,0.26815,10.49558,0.199,0.26912,9.05255,0.1979,0.27613,7.43613,0.19142,0.2695,6.63043,0.00288,0.00745,1.20694,0.00044,0.01635,15.00214
OSM,PTree-H,Insert,1.0,2.26282,2.26282,2.26282,2.26282,2.26282,0.257405,0.980667,6.13146,0.241058,1.0461,6.56297,0.921268,1.78127,6.44535,0.723337,1.40678,5.16179,0.0005,0.00186633,0.084724,0.000569667,0.00792033,1.172
OSM,PTree-H,Insert,0.0001,0.000803667,0.000818141,0.000643333,0.00584067,8.18739,0.264835,1.13845,6.12046,0.276906,1.02983,5.85152,1.26492,2.44471,7.66815,1.01424,1.98433,6.48079,0.000615333,0.00225467,0.0964917,0.000705,0.00822833,1.21875
OSM,PTree-H,Delete,0.0001,0.000752,0.000797183,0.000514,0.00482767,7.97681,0.266815,0.901762,5.19282,0.215456,1.02954,6.29545,1.03053,1.90199,6.03942,0.827225,1.58115,5.37347,0.000594667,0.002131,0.088273,0.000682667,0.00816,1.23592
OSM,PTree-Z,Insert,1.0,2.1224,2.1224,2.1224,2.1224,2.1224,0.636573,2.91378,17.6141,0.429451,2.60496,15.6646,2.70476,6.98845,21.447,2.04598,5.3065,17.9343,0.000449,0.002558,0.131451,0.000556667,0.00835867,1.19248
OSM,PTree-Z,Insert,0.0001,0.000777,0.000790077,0.000598333,0.005133,7.90639,0.806866,3.83822,20.2442,0.693238,3.33191,16.4716,3.80066,9.17828,25.8519,2.89488,7.25826,21.9766,0.000579667,0.00333267,0.151548,0.000659,0.00843733,1.26626
OSM,PTree-Z,Delete,0.0001,0.000717333,0.000736301,0.000483,0.00479567,7.36799,0.674041,3.40992,17.8092,0.581239,2.85815,16.3265,3.13346,7.6839,22.5264,2.44468,6.04548,19.0244,0.000505,0.00294067,0.138422,0.000568,0.008676,1.2663
OSM,CPAM-H,Insert,1.0,7.25907,7.25907,7.25907,7.25907,7.25907,0.30995,1.09772,6.61416,0.288956,1.17437,7.10859,1.19761,2.3107,7.38643,0.951209,1.83638,5.93478,0.000777667,0.00282,0.117495,0.000797333,0.00864267,1.39356
OSM,CPAM-H,Insert,0.0001,0.001498,0.00156208,0.001136,0.00602033,15.6263,0.298999,1.11671,5.42804,0.297208,1.07534,5.73524,1.37615,2.57051,7.52515,1.09685,2.06785,6.38102,0.000857333,0.00280333,0.129446,0.000988,0.00896833,1.4214
OSM,CPAM-H,Delete,0.0001,0.00160267,0.00166657,0.001245,0.00588167,16.6707,0.316703,0.988882,5.4988,0.268009,1.10502,6.59075,1.27681,2.34237,7.00945,1.04064,1.94514,6.05729,0.000824333,0.00277167,0.124636,0.000865,0.00911733,1.43687
OSM,CPAM-Z,Insert,1.0,7.00719,7.00719,7.00719,7.00719,7.00719,0.791099,3.46656,19.8623,0.526093,3.05164,17.1188,3.61936,9.4636,26.067,2.76353,7.19352,21.3028,0.000689,0.00358833,0.181628,0.000636,0.00919433,1.43429
OSM,CPAM-Z,Insert,0.0001,0.001486,0.00153754,0.001109,0.00578,15.3809,0.877119,4.04143,20.4205,0.656258,3.21334,16.0146,4.22222,10.3472,28.0342,3.18866,8.01797,23.0012,0.000720667,0.004114,0.199381,0.000697667,0.00921533,1.46503
OSM,CPAM-Z,Delete,0.0001,0.00159533,0.00166416,0.00121367,0.006999,16.6466,0.831474,4.12551,19.9918,0.711151,3.36593,17.8797,3.88024,9.64597,26.7638,3.05571,7.65297,22.5374,0.000672333,0.00399433,0.193686,0.000648,0.00939433,1.48276
OSM,KdTree,Insert,1.0,4.3235,4.3235,4.3235,4.3235,4.3235,0.0374337,0.0709467,0.378077,0.048068,0.0953917,0.498944,0.167692,0.27166,0.928594,0.185502,0.283198,0.932196,0.000708667,0.00179633,0.0486927,0.000567333,0.006495,1.06262
OSM,KdTree,Insert,0.0001,0.00226967,0.00293372,0.00110533,2.44536,29.3429,0.036441,0.0718237,0.386831,0.050223,0.101315,0.566049,0.17878,0.284941,0.963704,0.20108,0.306747,0.984339,0.000296,0.00193067,0.053741,0.000475,0.00630733,1.01067
OSM,KdTree,Delete,0.0001,0.00231633,0.00263267,0.00106867,0.248275,26.3317,0.0393917,0.072775,0.383983,0.049733,0.093991,0.519603,0.176967,0.279928,0.959792,0.186188,0.290562,0.974948,0.001105,0.00187367,0.0511607,0.000472667,0.006389,1.01315
OSM,OrthTree,Insert,1.0,4.95984,4.95984,4.95984,4.95984,4.95984,0.046891,0.0829443,0.387521,0.0533563,0.0957663,0.442422,0.177152,0.268253,0.922218,0.16411,0.264487,0.923657,0.000371333,0.002325,0.0495573,0.000632,0.00677467,1.12757
OSM,OrthTree,Insert,0.0001,0.001405,0.00144815,0.000950667,0.005442,14.4871,0.0488373,0.0854547,0.380516,0.0519973,0.091586,0.439491,0.187985,0.275543,0.913366,0.171549,0.270145,0.918164,0.000378667,0.00232967,0.0449557,0.000592667,0.00656733,1.04408
OSM,OrthTree,Delete,0.0001,0.00142367,0.00149235,0.000739333,0.005198,14.9285,0.0491983,0.084322,0.384192,0.053184,0.0923427,0.452139,0.189809,0.278604,0.943273,0.175224,0.280557,0.996426,0.000388667,0.00236933,0.046267,0.000587333,0.00710067,1.055
OSM,Boost,Insert,1.0,-1,-1,-1,-1,666.00575,0.40841,0.48403,9.95005,0.3944,0.48296,8.94717,0.39125,0.48172,7.17961,0.38828,0.46754,5.68446,0.00053,0.00194,0.43528,0.00026,0.00854,8.34709
OSM,Boost,Insert,0.0001,-1,-1,-1,-1,311.52587,0.64592,1.23052,20.41868,0.66215,1.25049,19.27539,0.66497,1.24285,17.62644,0.66185,1.2392,16.29302,0.00058,0.00916,0.56202,0.00036,0.01317,10.11778
OSM,Boost,Delete,0.0001,-1,-1,-1,-1,264.16213,0.37668,0.47254,4.69209,0.38003,0.48085,4.06288,0.36861,0.47122,3.56856,0.38727,0.47349,3.25682,0.00265,0.00277,0.51644,0.00693,0.02345,7.49948
