benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Varden,OrthTree,0.01,0.0871303,0.088752,0.0676573,0.119052,8.87526,0.112563,0.261469,0.946811,0.108978,0.223889,0.985693,0.344062,0.93369,2.97872,0.475443,0.913516,2.91425,0.00119833,0.0107063,0.588802,0.000859333,0.0127243,1.70109
Varden,OrthTree,0.001,0.0112183,0.0114546,0.00744467,0.0203907,11.4551,0.112749,0.262275,0.949087,0.111688,0.223571,0.983125,0.346956,0.942742,3.00315,0.479929,0.920244,2.93607,0.00118833,0.0109277,0.580733,0.000889333,0.0127033,1.69929
Varden,OrthTree,0.0001,0.001773,0.00189468,0.001098,0.00446133,18.9518,0.112964,0.262872,0.931767,0.109893,0.224249,0.98916,0.34611,0.940279,2.9903,0.481659,0.922474,2.94189,0.00111667,0.0109257,0.593096,0.000816333,0.0128233,1.70492
Varden,ZdTree,1.0,6.7421,6.7421,6.7421,6.7421,6.7421,0.100822,0.243907,1.12529,0.110002,0.245776,1.24491,0.331156,1.06908,3.75902,0.488537,1.03329,3.68097,0.000732,0.008521,0.876549,0.001438,0.0145713,2.2747
Varden,ZdTree,0.1,0.574778,0.566161,0.427086,0.72292,5.66162,0.100292,0.244099,1.12573,0.110354,0.244408,1.24883,0.331051,1.03298,3.40059,0.490825,1.02325,3.38694,0.000708667,0.00784767,0.718894,0.000787,0.0136897,2.08281
Varden,ZdTree,0.01,0.066298,0.0686674,0.034915,0.119093,6.86679,0.100146,0.243319,1.10459,0.11229,0.249534,1.25113,0.333652,1.03272,3.41471,0.493429,1.02625,3.40618,0.00203067,0.00790867,0.716853,0.00109767,0.013594,2.07928
Varden,ZdTree,0.001,0.008811,0.00920441,0.004683,0.0198727,9.20491,0.100925,0.243806,1.12717,0.111404,0.246836,1.25178,0.334879,1.03678,3.43317,0.496492,1.03324,3.42809,0.00106667,0.00877733,0.717364,0.001148,0.0140533,2.09483
Varden,ZdTree,0.0001,0.00175167,0.00192054,0.00102167,0.0125073,19.2103,0.101784,0.244615,1.10586,0.112348,0.249634,1.25368,0.338117,1.03838,3.44905,0.501745,1.04161,3.46203,0.000728667,0.00831267,0.746928,0.000824333,0.0143033,2.11739
Uniform,PTree-H,1.0,4.07896,4.07896,4.07896,4.07896,4.07896,3.6695,7.34171,17.2308,3.83277,7.28812,17.1024,3.61718,7.2478,17.0474,3.8342,7.27367,17.0402,0.000859333,0.0490877,0.968298,0.000899,0.0570693,1.92839
Uniform,PTree-H,0.1,0.474285,0.470356,0.378257,0.53721,4.70357,3.57706,7.0776,16.6691,3.79036,7.10774,16.6841,3.5873,7.08489,16.6879,3.80179,7.11703,16.7083,0.000937,0.052459,0.992695,0.000922,0.059876,2.05889
Uniform,PTree-H,0.01,0.0727653,0.0709144,0.0413647,0.0890043,7.09149,3.57056,7.05222,16.5945,3.78405,7.07767,16.6022,3.58427,7.05668,16.6039,3.79781,7.08926,16.6248,0.000899,0.053672,0.99877,0.000999333,0.0581427,2.06805
