benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,S,M,L,S,M,L
Uniform,KdTree,1.0,3.66259,3.66259,3.66259,3.66259,3.66259,0.220624,0.398443,1.30191,0.252803,0.397463,1.27833,0.221124,0.388568,1.26113,0.255778,0.395716,1.25609,0.000619,0.004486,0.0965543,0.000414,0.00752367,1.08118
Uniform,KdTree,0.1,0.462397,0.451713,0.302653,0.58463,4.51714,0.233856,0.420134,1.3526,0.266653,0.414029,1.32112,0.232345,0.402708,1.30079,0.266989,0.410083,1.29364,0.000372667,0.00495367,0.102468,0.000435667,0.00783967,1.04904
Uniform,KdTree,0.01,0.113171,0.10635,0.0369023,0.139266,10.635,0.232382,0.431295,1.37527,0.267647,0.41714,1.32923,0.233962,0.404664,1.30831,0.269121,0.411784,1.30181,0.000360667,0.00498367,0.103415,0.000436333,0.00798533,1.04824
Uniform,KdTree,0.001,0.0220363,0.0208871,0.00383033,0.02695,20.8876,0.232075,0.433278,1.37841,0.268347,0.416125,1.32933,0.235087,0.405552,1.31029,0.269736,0.412789,1.30439,0.000828333,0.00501133,0.103544,0.000423667,0.00797933,1.04296
Uniform,KdTree,0.0001,0.00498633,0.00488596,0.000755667,0.006289,48.8645,0.23235,0.432673,1.37687,0.268556,0.416365,1.33004,0.235592,0.405891,1.30997,0.270514,0.41316,1.30491,0.00198433,0.005068,0.102851,0.000424333,0.00792367,1.04652
Uniform,OrthTree,1.0,3.23007,3.23007,3.23007,3.23007,3.23007,0.202787,0.361613,1.22135,0.229734,0.36268,1.19936,0.20269,0.353333,1.18501,0.229682,0.359614,1.17515,0.000409667,0.00490533,0.0782373,0.000480667,0.007887,1.14478
Uniform,OrthTree,0.1,0.496001,0.426781,0.273946,0.517326,4.26782,0.217119,0.38062,1.26082,0.241554,0.379243,1.23885,0.214694,0.369701,1.22575,0.242688,0.376949,1.21729,0.000414,0.005066,0.079916,0.000483667,0.00791267,1.03509
Uniform,OrthTree,0.01,0.117727,0.102987,0.0350647,0.128656,10.2987,0.217677,0.382728,1.26874,0.242641,0.381897,1.24686,0.214541,0.372085,1.2334,0.242918,0.378114,1.22463,0.000414333,0.005123,0.0803777,0.000461333,0.00800033,1.04852
Uniform,OrthTree,0.001,0.0219013,0.0197425,0.003192,0.0258097,19.743,0.217041,0.382856,1.2678,0.244094,0.383063,1.24653,0.215051,0.371458,1.23384,0.243322,0.378421,1.22376,0.000410333,0.00516067,0.080372,0.000481,0.008015,1.05125
Uniform,OrthTree,0.0001,0.003191,0.00297297,0.000569,0.00655133,29.7347,0.21692,0.381462,1.26933,0.242686,0.381563,1.24606,0.215096,0.371814,1.23388,0.243568,0.378499,1.22399,0.000411,0.00512267,0.08028,0.000459667,0.00800633,1.04382
