1.in 7.3659 25.5182 alpha: 48
distance ratio: 0
input box: (1, 0, 0, )  (100000, 100000, 100000, ) 
query box: (1, 0, 0, )  (100000, 100000, 100000, ) 
820000000 821000000 0.019511 73 32.3026 0.010516 40 0.012843 45 0.050481 102 
830000000 831000000 0.015997 73 32.3291 0.010491 40 0.01296 45 0.050332 102 
840000000 841000000 0.014249 73 32.3599 0.010472 40 0.012847 45 0.050456 102 
850000000 851000000 0.01649 73 32.3847 0.01047 40 0.012895 45 0.050549 102 
860000000 861000000 0.02235 73 32.4217 0.010469 40 0.01292 45 0.05058 102 
870000000 871000000 0.019905 73 32.4508 0.010471 40 0.012875 45 0.050551 102 
880000000 881000000 0.018973 73 32.4732 0.010472 40 0.012796 45 0.050508 102 
890000000 891000000 0.018047 73 32.4956 0.010545 40 0.012913 45 0.050624 102 
900000000 901000000 0.016827 73 32.5172 0.010502 40 0.012906 45 0.050767 102 
910000000 911000000 0.017918 73 32.552 0.010482 40 0.012943 45 0.05049 102 
920000000 921000000 0.020319 73 32.5763 0.010489 40 0.012925 45 0.05084 102 
930000000 931000000 0.015784 73 32.6035 0.010449 40 0.013003 45 0.050753 102 
940000000 941000000 0.019007 73 32.6269 0.010455 40 0.013044 45 0.050697 102 
950000000 951000000 0.0202 74 32.6393 0.010472 40 0.012971 45 0.05093 102 
960000000 961000000 0.018274 74 32.6611 0.010476 40 0.012909 45 0.050557 102 
970000000 971000000 0.020147 74 32.7101 0.010491 40 0.012908 45 0.050831 102 
980000000 981000000 0.015395 74 32.748 0.010525 40 0.012977 45 0.050545 102 
990000000 991000000 0.015992 74 32.767 0.010475 40 0.01295 45 0.0507 102 
distance ratio: 100
input box: (1, 0, 0, )  (100000, 100000, 100000, ) 
query box: (9999901, 10000000, 10000000, )  (10099900, 10100000, 10100000, ) 
0 1000000 0.004676 17 15.5325 0.12363 315 0.134061 335 0.281592 426 
10000000 11000000 0.012377 42 25.3744 1.95706 3370 2.03096 3400 2.37819 3613 
20000000 21000000 0.017374 48 25.6339 3.37992 5363 3.49658 5432 3.97897 5720 
30000000 31000000 0.009139 48 25.7747 4.17248 6524 4.3124 6591 4.83935 6878 
40000000 41000000 0.013171 48 26.0207 4.15839 6524 4.31459 6591 4.83367 6878 
50000000 51000000 0.02058 49 26.6145 4.15858 6524 4.31802 6591 4.84418 6878 
60000000 61000000 0.014412 49 27.4944 4.15567 6524 4.31901 6591 4.84991 6878 
70000000 71000000 0.019405 49 27.6563 0.06164 177 0.065767 182 0.187728 297 
80000000 81000000 0.02203 51 27.9454 0.061709 177 0.065775 182 0.187863 297 
90000000 91000000 0.014764 51 28.4109 0.063532 185 0.067493 190 0.189093 305 
100000000 101000000 0.01623 53 28.9215 0.010037 45 0.014414 56 0.048929 108 
110000000 111000000 0.031743 56 29.3897 0.01055 40 0.013278 44 0.050327 99 
120000000 121000000 0.038477 64 29.7059 0.010531 40 0.013335 44 0.050122 99 
130000000 131000000 0.012879 64 30.0496 0.01056 40 0.013303 44 0.050214 99 
140000000 141000000 0.152691 58 28.2994 0.010546 40 0.013265 44 0.05014 99 
150000000 151000000 0.018278 58 28.422 0.010563 40 0.013245 44 0.050041 99 
160000000 161000000 0.016487 62 28.7449 0.010605 40 0.0133 44 0.050086 99 
170000000 171000000 0.019378 58 28.8613 0.010549 40 0.013257 44 0.050337 99 
180000000 181000000 0.015747 58 28.9279 0.01051 40 0.013321 44 0.050374 99 
