ts,id,lon,lat
2014-06-24 17:55:38,2931426201,-58.3484453,-62.0835527
2014-06-24 17:55:40,2931402630,-58.4251674,-62.0838014
2014-06-24 17:55:42,2931418105,-58.3759458,-62.0839429
2014-06-24 17:55:44,2931379288,-58.387321,-62.0840989
2014-06-24 17:55:57,2931408503,-57.9139275,-62.0844859
2014-06-24 17:56:01,2931417011,-58.3876544,-62.0845476
2014-06-24 17:56:13,2931417012,-57.9333733,-62.0854239
2014-06-24 17:56:18,2931412521,-58.4208657,-62.0862842
2014-06-24 17:56:20,2931408507,-58.3892377,-62.0866738
2014-06-24 17:56:22,2931408508,-57.938441,-62.0876307
2014-06-24 17:56:30,2931418107,-58.3896127,-62.0882538
2014-06-24 17:56:32,2931426202,-57.9220594,-62.0884583
2014-06-24 17:56:34,2931418108,-58.3071112,-62.0902627
2014-06-24 17:56:36,2931418109,-57.9494013,-62.0906097
2014-06-24 17:56:38,2931408509,-57.938441,-62.091051
2014-06-24 17:56:40,2931418110,-57.9558833,-62.0916027
2014-06-24 17:57:01,2931426203,-57.9425658,-62.0918233
2014-06-24 17:57:14,2931428401,-58.4094048,-62.0925641
2014-06-24 17:57:18,2931426204,-57.9525834,-62.0931472
2014-06-24 17:57:21,2931426205,-58.3979462,-62.0933441
2014-06-24 17:57:25,2931420124,-58.4068214,-62.0938317
2014-06-24 17:57:35,2931412522,-58.3364868,-62.0981022
2014-06-24 17:57:44,2931377897,-57.976979,-62.103736
2014-06-24 17:58:13,2931379290,-58.1683728,-62.1098559
2014-06-24 17:58:16,2931418111,-58.1422093,-62.1242412
2014-06-24 17:58:25,2931418112,-58.5134984,-62.1263678
2014-06-24 18:00:21,2931420125,-58.1235885,-62.1287042
2014-06-24 18:00:24,2931428402,-58.1254742,-62.1298061
2014-06-24 18:00:26,2931430201,-58.1090926,-62.1344336
2014-06-24 18:00:28,2931408510,-58.1153388,-62.1352598
2014-06-24 18:00:31,2931426206,-58.5091378,-62.1364217
2014-06-24 18:00:35,2931428403,-58.5167394,-62.1364492
2014-06-24 18:00:37,2931426207,-58.1251206,-62.1370775
2014-06-24 18:00:54,2931431001,-58.1227635,-62.1376834
2014-06-24 18:01:10,2931431401,-58.1147495,-62.140327
2014-06-24 18:01:22,2931426208,-58.1200529,-62.1447326
2014-06-24 18:01:24,2931431402,-58.1226457,-62.1490274
2014-06-24 18:01:26,2931431601,-58.1241778,-62.1499083
2014-06-24 18:01:28,2931412523,-58.4716016,-62.1518679
2014-06-24 18:01:30,2931412524,-58.1271241,-62.1532115
2014-06-24 18:01:33,2931431701,-58.1261813,-62.1550832
2014-06-24 18:01:39,2931431801,-58.2118606,-62.1577804
2014-06-24 18:01:42,2931431901,-58.1509305,-62.1587161
2014-06-24 18:01:44,2931418113,-58.1405594,-62.1589362
2014-06-24 18:01:46,2931431403,-58.2162212,-62.1590463
2014-06-24 18:01:48,2931412525,-58.1433879,-62.1592665
2014-06-24 18:01:50,2931431602,-58.2126856,-62.1594316
2014-06-24 18:01:54,2931431702,-58.2149248,-62.1603122
2014-06-24 18:01:57,2931431603,-58.1984253,-62.1603672
2014-06-24 18:01:59,2931431703,-58.1238242,-62.1612478
2014-06-24 18:02:01,2931431405,-58.1398523,-62.161578
2014-06-24 18:02:03,2931431406,-58.2007824,-62.1619633
2014-06-24 18:02:05,2931408511,-58.1822794,-62.1632841
2014-06-24 18:02:12,2931418114,-58.1873471,-62.1640545
2014-06-24 18:02:20,2931430202,-58.1714369,-62.1659255
2014-06-24 18:02:47,2931408512,-58.1647193,-62.1660906
2014-06-24 18:02:54,2931418115,-58.1774475,-62.1662556
2014-06-24 18:02:56,2931431902,-58.5639986,-62.1667561
2014-06-24 18:02:58,2931430203,-58.2133927,-62.1679614
2014-06-24 18:03:00,2931412526,-58.1235885,-62.1686767
2014-06-24 18:03:02,2931430204,-58.5749589,-62.1725332
2014-06-24 18:03:04,2931408513,-58.3053183,-62.1730232
2014-06-24 18:03:06,2931431903,-58.1149852,-62.1736283
2014-06-24 18:03:08,2931431407,-58.2119785,-62.1737383
2014-06-24 18:03:10,2931432901,-58.303904,-62.1742334
2014-06-24 18:03:13,2931431802,-58.2109178,-62.1747286
2014-06-24 18:03:15,2931426209,-58.8368723,-62.1753339
2014-06-24 18:03:18,2931408514,-58.4322815,-62.1814403
2014-06-24 18:03:20,2931431002,-58.8244554,-62.1816736
2014-06-24 18:03:22,2931408515,-58.4305315,-62.1828014
2014-06-24 18:03:24,2931430205,-58.8576227,-62.1833459
2014-06-24 18:03:26,2931418116,-58.2242352,-62.1846839
2014-06-24 18:03:28,2931431408,-58.2199925,-62.1854538
2014-06-24 18:03:31,2931431904,-58.8777064,-62.1861068
2014-06-24 18:03:34,2931431905,-58.2168105,-62.1862237
2014-06-24 18:03:37,2931430206,-58.8788731,-62.186379
2014-06-24 18:03:41,2931431604,-58.9089569,-62.18669
2014-06-24 18:03:55,2931431704,-58.7963715,-62.1883231
2014-06-24 18:03:58,2931408517,-58.2347242,-62.1884232
